FAA	ICAO	LATITUDE	LONGITITUDE	NAME	CITY	COUNTRY
BMI	KBMI	40.477111	-88.915917	Central Illinois Rgnl	Bloomington	United States
GPT	KGPT	30.407278	-89.070111	Gulfport-Biloxi	Gulfport	United States
AZO	KAZO	42.234875	-85.552058	Kalamazoo	Kalamazoo	United States
TOL	KTOL	41.586806	-83.807833	Toledo	Toledo	United States
FWA	KFWA	40.978472	-85.195139	Fort Wayne	Fort Wayne	United States
DEC	KDEC	39.834564	-88.865689	Decatur	Decatur	United States
CID	KCID	41.884694	-91.710806	Cedar Rapids	Cedar Rapids	United States
LSE	KLSE	43.878986	-91.256711	La Crosse Municipal	La Crosse	United States
CWA	KCWA	44.772726	-89.646635	Central Wisconsin	Wassau	United States
PIA	KPIA	40.664203	-89.693258	Peoria Regional	Peoria	United States
ATW	KATW	44.257526	-88.507576	Appleton	Appleton	United States
RST	KRST	43.908283	-92.500014	Rochester	Rochester	United States
CMI	KCMI	40.03925	-88.278056	Champaign	Champaign	United States
MHK	KMHK	39.140972	-96.670833	Manhattan Reigonal	Manhattan	United States
KGC	YKSC	-35.713889	137.521389	Kingscote Airport	Kingscote	Australia
HVB	YHBA	-25.318889	152.880278	Hervey Bay Airport	Hervey Bay	Australia
BSL	\N	47.59	7.529167	EuroAirport Basel-Mulhouse-Freiburg	Basel	Switzerland
DLU	ZPDL	25.649444	100.319444	Dali	Dali	China
JHG	\N	21.973914	100.759611	Jinghong	Jinghong	China
MZV	\N	4.048333	114.805	Mulu	Mulu	Malaysia
SSH	HESH	27.977222	34.394722	Sharm El Sheikh Intl	Sharm El Sheikh	Egypt
FKL	KFKL	41.377874	-79.860362	Franklin	Franklin	United States
NBO	HKJK	-1.319167	36.9275	Jomo Kenyatta International	Nairobi	Kenya
SEU	HTSN	-2.458056	34.8225	Seronera	Seronera	Tanzania
FTE	SAWC	-50.280322	-72.053103	El Calafate	El Calafate	Argentina
ARM	YARM	-30.528056	151.617222	Armidale	Armidale	Australia
GJT	KGJT	39.122413	-108.526735	Grand Junction Regional	Grand Junction	United States
SGU	KSGU	37.090583	-113.593056	St George Muni	Saint George	United States
DWH	KDWH	30.063746	-95.554276	David Wayne Hooks Field	Houston	United States
S46	XS46	28.429977	-96.442859	Port O\\'Connor Airfield	Port O\\'Connor	United States
SRQ	KSRQ	27.395444	-82.554389	Sarasota Bradenton Intl	Sarasota	United States
VNY	KVNY	34.209811	-118.489972	Van Nuys	Van Nuys	United States
BDA	TXKF	32.364042	-64.678703	Bermuda Intl	Bermuda	Bermuda
X21	\N	28.622552	-80.83541	Arthur Dunn Airpark	Titusville	United States
MLI	KMLI	41.448528	-90.507539	Quad City Intl	Moline	United States
PFN	KPFN	30.212083	-85.682806	Panama City Bay Co Intl	Panama City	United States
HIR	AGGH	-9.428	160.054789	Honiara International	Honiara	Solomon Islands
PPT	NTAA	-17.556667	-149.611389	Faa\\'a International	Papeete	French Polynesia
INU	ANYN	-0.547458	166.9191	Nauru Intl	Nauru	Nauru
FUN	NGFU	-8.525	179.196389	Funafuti International	Funafuti	Tuvalu
OVB	UNNT	55.012622	82.650656	Tolmachevo	Novosibirsk	Russia
DWS	\N	28.398	-81.57	Orlando	Orlando	United States
	EKSS	55.89	10.62	Stavns	Samsoe	Denmark
XKH	VLXK	19.449997	103.158333	Xieng Khouang	Phon Savan	Laos
HUI	\N	16.401499	107.702614	Phu Bai	Hue	Vietnam
BIS	KBIS	46.775842	-100.757931	Bismarck Municipal Airport	Bismarck	United States
TEX	KTEX	37.953759	-107.90848	Telluride	Telluride	United States
INC	ZLIC	38.481944	106.009167	Yinchuan	Yinchuan	China
HGN	VTCH	19.301667	97.975	Mae Hong Son	Mae Hong Son	Thailand
RAP	KRAP	44.045278	-103.057222	Rapid City Regional Airport	Rapid City	United States
CLD	KCRQ	33.0742	-117.1648	McClellan-Palomar Airport	Carlsbad	United States
FNT	KFNT	42.965424	-83.743629	Bishop International	Flint	United States
DVO	RPMD	7.125522	125.645778	Francisco Bangoy International	Davao	Philippines
FNC	LPMA	32.697889	-16.774453	Madeira	Funchal	Portugal
STM	SBSN	-2.422431	-54.792789	Santarem	Santarem	Brazil
KOS	VDSV	10.579686	103.636828	Sihanoukville	Sihanoukville	Cambodia
YOA	CYOA	64.698889	-110.614722	Ekati	Ekati	Canada
NPE	NZNR	-39.465833	176.87	Napier	NAPIER	New Zealand
LEV	NFNB	-17.68333	178.83333	Levuka Airfield	Levuka	Fiji
LXA	ZULS	29.297778	90.911944	Lhasa-Gonggar	Lhasa	China
RDD	KRDD	40.509	-122.293389	Redding Muni	Redding	United States
EUG	KEUG	44.124583	-123.211972	Mahlon Sweet Fld	Eugene	United States
IDA	KIDA	43.514556	-112.07075	Idaho Falls Rgnl	Idaho Falls	United States
MFR	KMFR	42.374228	-122.8735	Rogue Valley Intl Medford	Medford	United States
KBZ	NZKI	-42.416668	173.68333	Kaikoura	Kaikoura	New Zealand
RDM	KRDM	44.254066	-121.149964	Roberts Fld	Redmond-Bend	United States
PCN	NZPN	-41.348333	173.955278	Koromiko	Picton	New Zealand
WDH	FYWV	-22.486667	17.4625	Windhoek Hosea Kutako International Airport 	Windhoek	Namibia
YWH	CYWH	48.422778	-123.3875	Victoria Inner Harbour Airport	Victoria	Canada
CXH	CAQ3	49.289722	-123.115833	Vancouver Coal Harbour	Vancouver	Canada
TNA	ZSJN	36.857214	117.215992	Jinan	Jinan	China
CZX	ZSCG	31.941667	119.711667	Changzhou	Changzhou	China
YBP	ZUYB	28.800278	104.544444	Yibin	Yibin	China
TJM	USTR	57.189567	65.3243	Roschino	Tyumen	Russia
CAK	KCAK	40.9160833	-81.4421944	Akron Canton Regional Airport	Akron	United States
HSV	KHSV	34.6371944	-86.7750556	Huntsville International Airport-Carl T Jones Field	Huntsville	United States
PKB	KPKB	39.3451039	-81.4392031	Mid-Ohio Valley Regional Airport	PARKERSBURG	United States
MGM	KMGM	32.3006389	-86.3939722	Montgomery Regional Airport 	MONTGOMERY	United States
TRI	KTRI	36.4752222	-82.4074167	Tri-Cities Regional Airport	BRISTOL	United States
PAH	KPAH	37.0602875	-88.7729583	Barkley Regional Airport	PADUCAH	United States
KUF	\N	53.5	50.15	Kurumoch	Samara	Russia
JIB	HDAM	11.5472	43.1594	Ambouli International Airport	Djibouti	Djibouti
HAK	ZJHK	19.934856	110.458961	Meilan	Haikou	China
MFA	HTMA	-7.913889	39.665	Mafia	Mafia Island	Tanzania
FCA	KFCA	48.310472	-114.256	Glacier Park Intl	Kalispell	United States
		-7.7509336472	38.2032814026	Mtemere Airstrip	Selous	Tanzania
PGA	KPGA	36.9261	-111.4483	Page Municipal Airport	Page	United States
UII	MHUT	16.091667	-86.8875	Utila Airport	Utila	Honduras
SNV	\N	4.554722	-61.144922	Santa Elena Airport	Santa Elena de Uairen	Venezuela
MBS	KMBS	43.532913	-84.079647	Mbs Intl	Saginaw	United States
BGM	KBGM	42.208689	-75.979839	Greater Binghamton Edwin A Link Fld	Binghamton	United States
BGW	ORBI	33.262539	44.234578	Baghdad International Airport	Baghdad	Iraq
NNT	VTCN	18.807914	100.783419	Nan	Nan	Thailand
ROI	VTUV	16.116761	103.773797	Roi Et	Roi Et	Thailand
BFV	VTUO	15.229539	103.253231	Buri Ram	Buri Ram	Thailand
UNN	\N	9.777622	98.585483	Ranong	Ranong	Thailand
TDX	VTBO	12.274572	102.318958	Trat	Trat	Thailand
BLH	KBLH	33.619167	-114.716889	Blythe Airport	Blythe	United States
	ORAA	33.785608	42.4412	Al Asad Airbase	Al Asad	Iraq
	ORAT	33.338053	43.597072	Al Taqaddum Airbase	Al Taqaddum	Iraq
	ORBD	33.940194	44.361583	Balad Southeast Airport	Al Bakr	Iraq
CRK	RPLC	15.185833	120.560278	Diosdado Macapagal International	Angeles City	Philippines
SDK	WBKS	5.900897	118.059486	Sandakan	Sandakan	Malaysia
LXG	VLLN	20.960556	101.4025	Luang Namtha	Luang Namtha	Laos
ODY	VLOS	20.6827	101.994	Oudomxay	Muang Xay	Laos
SHE	ZYTX	41.3824	123.2901	Shenyang Taoxian International Airport	Shenyang	China
DOY	ZSDY	37.2716	118.2819	Dongying Airport	Dongying	China
